comment,sentiment
Normal content,Neutral
Too fast,Negative
It is okay,Neutral
This is amazing,Positive
Decent video,Neutral
Terrible teaching,Negative
Not helpful at all,Negative
Nothing special,Neutral
Worst video ever,Negative
Just okay,Neutral
Highly recommended,Positive
Thank you so much,Positive
Average content,Neutral
Worst video ever,Negative
Waste of time,Negative
This helped me understand the topic,Positive
I learned a lot,Positive
Disappointing video,Negative
Audio is not clear,Negative
Video is okay,Neutral
Fine tutorial,Neutral
Just okay,Neutral
Not too good not too bad,Neutral
Normal content,Neutral
Awesome content,Positive
I love this video,Positive
Disappointing video,Negative
I did not like this,Negative
Decent video,Neutral
Not bad,Neutral
Too fast,Negative
Disappointing video,Negative
Just okay,Neutral
Just okay,Neutral
Very helpful content,Positive
I hate this,Negative
Poor explanation,Negative
I did not like this,Negative
Very boring,Negative
Video is okay,Neutral
Awesome content,Positive
Great teaching,Positive
Bad quality,Negative
It was fine,Neutral
This is amazing,Positive
Awesome content,Positive
Worst explanation,Negative
Not useful,Negative
Okay explanation,Neutral
Okay explanation,Neutral
Not helpful at all,Negative
Very boring,Negative
Terrible teaching,Negative
Fine tutorial,Neutral
Very helpful content,Positive
Just okay,Neutral
Poor explanation,Negative
Very helpful content,Positive
Very informative,Positive
Great teaching,Positive
Moderate explanation,Neutral
I did not like this,Negative
Normal content,Neutral
Well explained,Positive
Bad quality,Negative
Moderate explanation,Neutral
This is terrible,Negative
This is amazing,Positive
Decent video,Neutral
It is okay,Neutral
Loved it,Positive
Not bad,Neutral
Average content,Neutral
Confusing explanation,Negative
Best tutorial,Positive
Very helpful content,Positive
Very informative,Positive
Fantastic video,Positive
I did not like this,Negative
Average content,Neutral
Average content,Neutral
Great teaching,Positive
I learned a lot,Positive
Decent video,Neutral
Video is okay,Neutral
Very informative,Positive
Normal content,Neutral
Best tutorial,Positive
Very boring,Negative
Not too good not too bad,Neutral
Normal content,Neutral
Worst video ever,Negative
I hate this,Negative
Excellent explanation,Positive
Not bad,Neutral
Waste content,Negative
Terrible teaching,Negative
I learned a lot,Positive
So so content,Neutral
Average content,Neutral
Just okay,Neutral
This is amazing,Positive
Not helpful at all,Negative
Fantastic video,Positive
Not useful,Negative
So so content,Neutral
Disappointing video,Negative
Average video,Neutral
Great teaching,Positive
So so content,Neutral
It is okay,Neutral
Decent video,Neutral
Very informative,Positive
Video is okay,Neutral
So confusing,Negative
Fine tutorial,Neutral
Well explained,Positive
Normal content,Neutral
Very informative,Positive
Not helpful at all,Negative
Poor explanation,Negative
I learned a lot,Positive
Not helpful at all,Negative
Very informative,Positive
Very boring,Negative
